X1_1	X1_2	X1_3	X1_4	X1_5	X1_6	X1_7	X1_8	X1_9	X1_10	Y1_1	Y1_2	Y1_3	Y1_4	Y1_5	Y2_1	Y2_2	Y2_3	Y2_4	Y2_5	Y2_6	Y2_7
88	48	74	90	88	67	70	53	63	55	88	87	85	90	46	55	56	88	47	46	85	80
60	49	77	63	85	77	90	51	56	53	77	47	76	90	56	53	46	60	66	56	76	90
55	90	75	67	76	75	87	61	90	51	74	66	60	63	46	51	73	90	63	46	60	94
53	87	63	78	60	61	88	74	88	61	49	63	55	56	63	61	46	53	90	63	55	90
51	88	67	76	55	90	65	67	60	74	90	66	53	78	66	78	51	87	66	53	66	76
47	65	78	66	53	94	76	88	90	67	87	46	56	61	90	67	75	61	67	75	76	72
74	76	76	48	51	87	60	60	53	77	47	65	45	90	53	77	66	90	65	61	94	75
67	60	77	83	61	87	55	90	51	75	66	66	77	94	51	75	73	94	88	90	87	81
62	55	75	88	74	56	84	53	61	61	63	90	74	79	47	61	94	87	85	94	47	89
90	84	66	90	67	45	67	87	74	90	66	90	90	88	74	90	63	47	66	87	66	54
87	59	73	87	77	77	78	88	67	94	46	63	90	90	88	94	56	66	90	87	63	75
65	63	87	65	75	74	88	74	54	77	48	56	87	60	66	87	90	63	90	56	66	81
88	90	47	78	61	72	85	49	49	75	83	78	56	55	48	87	88	66	63	45	46	89
85	48	66	85	90	75	76	90	47	61	94	88	76	46	83	56	60	88	56	77	88	54
90	87	63	65	94	81	60	87	63	90	87	60	77	51	88	45	90	85	78	74	91	49
87	87	66	47	87	89	55	47	84	88	47	90	77	75	90	77	94	76	45	72	90	47
88	56	46	66	87	54	53	49	78	77	66	53	87	66	87	74	94	60	77	75	63	63
85	45	65	63	56	49	51	90	79	62	63	51	85	67	56	65	87	55	75	53	67	84
76	87	66	66	45	47	61	87	65	90	54	61	78	62	45	88	47	53	66	51	89	78
60	65	90	88	77	63	74	47	73	87	77	74	45	88	77	85	66	51	73	61	76	79
55	50	90	60	74	84	67	66	76	65	75	67	67	77	74	76	63	61	94	74	66	65
53	49	63	90	72	78	61	94	87	78	61	62	48	74	72	51	66	74	70	45	48	73
51	87	56	53	75	79	90	63	47	85	90	90	49	49	75	61	90	67	46	77	83	84
61	48	78	51	81	65	94	56	66	65	94	87	54	90	81	74	90	77	56	74	88	80
74	77	88	61	89	73	87	90	63	87	79	66	51	87	89	67	63	75	46	72	60	80
67	90	47	74	54	84	87	88	66	88	88	63	61	56	54	77	67	61	63	75	87	90
77	47	66	67	49	80	56	60	88	77	90	66	74	76	49	75	78	90	66	81	65	94
75	63	63	62	47	80	77	65	63	87	65	75	74	88	74	54	77	48	56	89	78	90
61	71	47	90	63	90	75	63	47	49	55	90	77	72	63	65	66	87	90	54	85	76
90	55	66	87	84	94	74	56	63	90	53	65	90	75	65	66	48	87	63	49	76	72
94	89	63	65	78	90	67	90	84	87	51	66	94	81	66	90	83	56	66	61	62	75
87	60	66	88	79	76	65	88	78	56	47	90	87	89	90	90	88	45	88	90	90	81
87	78	90	85	65	72	75	60	79	76	74	90	87	54	90	63	90	77	63	68	87	89
56	53	90	76	73	75	81	90	65	77	67	63	56	49	63	56	51	87	89	79	66	76
45	58	94	87	84	81	89	94	88	77	62	56	45	47	56	78	90	63	65	88	63	60
77	61	87	66	80	89	54	94	85	87	90	78	77	63	78	66	63	56	50	90	66	55
74	71	47	63	80	54	49	87	76	85	87	88	74	84	88	63	67	90	49	76	65	53
72	90	66	66	90	55	78	88	60	87	65	47	47	85	61	66	88	88	87	56	55	51
75	48	63	46	94	53	45	85	55	45	88	49	90	87	66	51	66	60	48	78	53	61
81	65	66	65	90	51	67	76	53	45	85	54	63	66	46	65	78	90	77	88	51	74
89	61	46	66	76	61	48	60	51	67	76	51	56	63	65	88	45	94	90	47	47	67
54	50	65	90	72	74	49	55	61	48	51	90	78	66	66	85	67	94	47	66	74	77
49	88	66	90	75	67	54	53	74	49	61	94	88	46	90	76	48	87	63	63	67	75
47	87	90	63	81	77	51	51	67	90	74	63	47	65	90	87	49	63	71	61	62	61
63	45	90	56	89	75	90	61	77	87	67	49	66	66	63	66	54	66	55	90	90	74
84	45	63	78	54	81	94	74	75	88	77	54	63	90	56	63	51	90	89	94	87	67
78	67	90	88	75	89	63	67	61	65	75	51	47	90	78	66	84	90	60	79	66	77
79	48	87	47	81	54	84	77	90	76	61	90	45	47	88	46	67	94	78	88	63	75
65	49	65	66	89	49	78	75	94	60	90	94	90	56	47	65	65	87	53	90	66	81
73	90	88	63	54	47	90	61	87	55	94	63	76	78	66	66	88	47	58	87	88	89
84	87	85	47	49	63	87	90	87	84	87	61	72	88	63	90	85	66	61	65	47	54
80	88	76	66	47	84	88	94	88	67	81	54	56	77	47	90	76	67	71	88	90	49
80	65	87	63	63	78	65	87	47	81	54	84	77	90	90	63	88	88	90	85	94	47
90	76	66	66	84	79	76	87	65	78	94	87	60	90	94	61	75	75	48	63	65	47
94	60	53	90	78	65	60	56	47	63	56	47	77	45	88	94	90	79	65	66	88	87
90	55	51	90	79	88	55	45	87	56	45	63	75	45	88	63	63	78	66	83	83	61
76	84	61	94	65	85	84	77	61	90	77	84	61	67	60	85	67	67	94	88	88	90
72	67	74	90	73	76	67	74	90	88	74	78	90	88	87	55	87	53	85	90	63	94
75	77	67	76	84	60	65	78	94	60	72	90	94	80	53	60	74	75	47	87	87	65
81	75	77	72	80	55	88	45	65	90	45	85	67	63	84	55	77	46	66	65	65	87
89	61	75	75	80	53	85	67	87	94	67	76	77	84	67	53	75	85	75	78	78	56
54	90	89	81	79	67	76	48	56	94	88	88	75	78	65	47	74	51	87	84	61	45
55	94	89	89	80	65	88	49	45	87	47	85	61	79	88	94	67	61	56	67	74	77
53	87	54	54	57	88	85	54	77	63	85	76	74	61	85	87	77	74	45	77	67	74
51	87	49	55	63	56	76	51	74	84	76	87	67	50	76	46	75	67	77	75	77	90
61	56	47	77	56	78	87	47	90	78	60	88	77	88	60	56	89	77	74	61	75	90
74	45	63	75	90	45	88	94	90	79	47	85	75	87	55	88	89	75	72	90	89	80
67	77	84	61	88	67	85	87	80	65	94	76	81	45	53	85	54	81	75	94	89	90
77	74	78	90	60	48	76	46	90	88	87	60	89	45	51	63	55	88	87	87	54	94
75	72	90	94	90	49	60	56	94	85	46	55	54	67	61	56	53	77	47	87	49	85
81	75	87	87	94	54	55	88	90	88	56	75	78	65	78	90	51	74	66	56	47	76
89	81	88	87	94	51	53	85	45	48	78	61	79	88	45	88	61	49	63	45	63	87
54	89	65	56	87	56	51	76	77	87	56	74	61	85	67	60	74	90	66	77	84	88
49	54	76	45	51	45	61	60	87	73	45	67	50	76	48	90	67	87	46	74	78	85
47	49	60	65	61	77	74	55	85	94	77	77	88	60	49	53	77	47	65	72	90	76
63	47	55	88	74	74	67	53	78	87	74	75	87	55	54	51	75	66	66	75	87	60
84	94	46	61	78	90	77	51	45	46	72	85	79	67	51	64	90	77	90	81	88	55
78	87	56	90	45	90	75	61	94	60	76	76	80	65	55	46	90	77	76	89	65	75
79	46	46	90	67	87	61	74	87	55	55	78	57	88	53	54	87	87	72	54	76	61
65	56	54	90	48	56	90	88	63	88	88	90	63	74	49	55	56	56	75	49	60	74
88	46	77	87	49	76	63	65	66	90	63	94	56	90	90	58	74	76	72	47	55	67
85	76	74	56	54	77	56	76	46	87	87	65	90	90	87	79	67	77	78	94	46	87
76	54	74	76	51	77	90	70	94	65	65	87	88	87	47	80	66	84	79	87	56	47
60	77	90	77	87	87	88	65	87	78	78	56	60	56	66	57	90	78	87	61	66	65
55	65	90	77	56	85	60	73	46	84	61	45	90	76	63	94	90	79	78	78	63	73
53	64	87	87	76	78	90	46	56	67	74	77	94	77	66	76	94	65	87	67	66	46
51	90	56	56	77	45	94	56	46	77	67	74	94	56	46	87	90	73	56	91	90	56
61	48	74	76	49	67	94	46	54	75	77	90	87	45	48	78	76	84	45	90	90	46
74	49	67	77	47	48	87	46	54	61	75	90	87	77	87	56	47	45	77	63	63	46
67	90	77	61	63	49	78	56	77	90	89	80	56	87	73	45	63	77	74	67	67	56
77	87	75	74	84	54	87	46	75	94	89	90	76	85	94	77	84	74	88	89	78	46
75	88	77	88	78	56	56	94	65	87	54	94	77	78	87	74	78	90	90	76	76	94
61	65	64	65	79	58	45	87	47	94	85	51	79	45	46	72	90	50	80	66	66	87
90	76	46	76	65	90	77	47	66	76	76	79	80	67	76	75	87	87	90	48	48	47
94	60	54	60	88	77	74	66	63	55	78	80	57	48	60	81	88	56	94	83	83	66
87	55	55	55	85	64	55	63	66	87	46	76	65	49	55	89	65	76	90	88	88	63
87	84	58	84	76	46	49	47	90	56	54	60	88	54	65	54	76	77	76	60	90	47
56	67	79	67	60	54	89	66	90	76	55	55	85	56	90	49	60	77	49	87	87	66
45	77	80	65	55	55	49	63	63	77	58	84	76	56	94	47	55	87	75	65	65	63
77	75	57	88	53	58	90	76	94	85	79	67	60	60	88	94	46	85	81	78	78	66
74	74	94	85	51	79	94	60	76	76	80	65	55	55	85	87	56	78	75	85	85	90
90	67	76	76	79	80	87	55	55	78	57	88	53	84	76	46	46	45	54	76	65	90
90	65	55	78	80	57	87	54	90	76	94	85	51	67	60	56	54	67	55	60	87	94
87	75	49	89	57	94	56	90	94	60	76	76	79	65	55	46	77	48	53	55	88	87
56	81	89	65	94	76	76	65	87	55	55	78	80	88	53	76	74	53	51	53	77	47
76	89	93	88	60	55	77	87	87	84	49	89	57	85	51	54	74	76	63	51	74	66
77	54	66	85	55	49	66	47	56	67	76	65	78	76	79	77	90	90	74	61	49	63
77	49	67	75	53	89	93	66	45	77	60	87	76	78	80	65	90	56	67	74	90	66
87	47	55	90	51	93	67	63	77	75	55	88	66	90	93	90	83	78	77	67	87	46
85	63	53	74	79	66	67	90	74	74	53	77	48	56	66	56	94	88	90	77	47	65
78	84	51	67	80	67	55	76	90	67	51	74	83	45	90	83	87	60	81	75	66	66
45	78	79	65	57	88	53	54	90	65	61	49	88	77	50	88	47	90	74	61	63	90
67	79	94	87	78	84	66	77	87	75	74	90	90	74	87	90	66	53	54	90	66	90
48	65	65	88	76	53	72	51	63	90	67	87	87	87	90	89	63	51	90	94	46	63
49	88	87	77	66	51	75	90	56	90	77	47	65	73	56	87	54	61	65	77	48	56
54	85	56	74	48	61	81	74	90	63	51	47	78	94	87	90	77	74	87	75	87	90
56	76	45	90	83	76	89	67	88	56	61	66	85	87	88	56	75	67	47	61	73	56
58	60	77	50	88	67	66	59	60	73	78	63	65	46	56	46	61	62	66	90	94	87
90	55	74	87	90	77	55	60	90	94	67	66	87	56	46	54	90	90	63	88	87	88
77	65	90	56	87	87	53	59	94	70	91	90	88	46	88	54	94	87	90	77	46	56
64	90	90	76	65	61	64	53	94	46	90	90	77	54	85	77	65	65	90	55	76	45
46	94	80	77	78	90	61	51	87	56	63	63	74	54	76	75	88	87	90	53	60	77
54	87	90	77	85	46	74	61	88	46	67	67	49	77	60	65	85	56	63	51	55	74
55	87	94	87	65	65	48	74	56	63	89	78	90	75	55	47	76	45	67	61	65	90
58	56	67	85	76	87	77	90	89	66	76	76	87	65	53	66	60	77	90	88	90	90
79	45	76	78	67	56	60	77	87	87	60	74	88	87	87	87	55	74	55	66	94	80
65	67	66	87	56	46	54	90	54	56	76	45	90	83	76	89	67	65	78	55	76	45
61	94	74	87	87	74	90	94	95	95	49	88	87	77	54	98	66	95	95	99	75	95
90	87	88	87	77	67	98	87	70	94	54	85	56	74	54	87	90	70	94	67	61	94
95	56	85	56	74	77	87	87	66	98	55	76	45	90	77	88	98	98	87	77	90	87
98	45	76	45	90	90	65	65	63	97	53	60	77	50	75	77	97	73	56	87	95	56
87	77	60	77	50	81	78	78	66	67	51	55	74	87	61	74	67	46	45	61	94	45
56	74	55	66	77	74	85	85	90	95	61	98	90	56	90	49	78	56	86	90	87	86
45	90	98	90	56	54	76	98	90	75	88	90	90	76	90	89	72	45	74	95	56	74
77	50	90	90	76	90	60	87	95	46	66	95	80	77	77	94	75	67	90	81	48	49
74	87	95	80	77	95	55	88	76	66	51	90	70	88	90	55	95	90	81	53	60	77
90	56	94	90	77	94	53	77	47	76	98	87	95	87	61	56	75	53	87	51	55	74
90	76	87	95	87	47	51	74	66	60	97	56	98	85	90	46	54	99	89	61	98	90
80	77	56	98	85	66	61	49	63	55	56	45	99	78	75	67	80	77	54	88	90	90
90	77	45	99	78	63	74	90	66	53	78	77	72	45	81	48	57	74	90	66	95	80
95	87	77	72	45	90	67	87	46	56	61	74	75	67	75	53	95	90	47	90	94	90
98	85	76	66	51	90	70	88	90	55	95	90	81	48	54	99	99	90	63	98	87	95
74	61	66	98	90	46	56	46	46	76	66	85	96	56	96	61	73	66	61	46	60	46
48	74	46	97	90	56	46	54	65	60	73	76	100	45	75	88	96	90	86	63	55	63
77	90	91	90	56	46	88	54	76	55	96	60	87	96	46	66	70	63	74	66	53	66
75	77	98	98	46	54	85	77	60	53	97	55	88	94	85	90	46	66	90	90	51	90
90	75	97	97	46	54	76	75	60	51	56	53	77	47	76	98	56	96	49	98	61	63
74	61	67	67	56	77	60	100	55	61	90	51	74	66	60	97	46	94	87	97	78	66
67	90	89	78	46	75	55	47	53	74	88	61	49	63	55	56	63	77	89	67	67	96
68	96	76	76	96	100	53	66	51	67	60	74	90	66	53	78	66	74	54	78	96	94
98	94	66	66	94	47	51	63	61	88	90	67	87	46	56	61	90	90	90	89	54	73
87	87	48	48	47	66	61	66	74	60	53	77	47	100	45	90	53	50	47	54	54	96
65	56	83	83	66	63	78	96	54	90	51	75	66	66	77	96	51	87	63	90	77	70
88	45	88	88	63	66	67	94	51	53	61	61	63	90	74	79	47	56	84	47	75	46
85	86	60	98	47	90	90	47	59	94	74	90	66	98	90	88	74	76	76	97	97	46
90	74	87	87	66	98	55	66	66	88	67	96	46	97	90	90	88	77	60	56	97	97
87	90	46	77	56	98	53	94	96	73	56	94	65	81	79	76	97	77	55	90	51	74
88	49	56	75	46	97	51	47	70	96	94	90	76	89	48	60	67	87	53	88	61	49
99	87	46	66	46	56	61	66	100	94	88	56	60	98	73	55	89	85	51	60	74	90
76	89	54	73	56	73	78	63	73	46	56	46	60	55	84	53	76	78	61	90	67	87
60	54	54	96	46	96	67	66	46	56	46	54	55	53	80	51	66	45	74	53	77	47
55	90	77	70	88	70	91	90	56	46	88	54	53	51	80	61	48	67	67	51	75	66
84	47	75	46	85	46	98	98	46	54	85	77	51	61	90	78	83	48	77	61	61	63
51	63	61	56	76	56	97	97	46	54	76	75	61	74	56	67	88	53	75	66	78	76
90	84	90	46	60	46	67	67	56	77	60	100	74	67	98	90	60	99	61	96	96	60
74	78	96	63	55	63	89	78	46	75	55	47	54	77	99	55	87	67	90	94	63	89
67	65	94	66	53	66	76	76	96	100	53	66	51	75	72	53	65	77	87	73	46	54
77	66	47	90	51	90	66	66	94	47	51	63	59	81	75	51	78	87	47	96	56	77
75	73	66	98	61	63	48	48	47	66	61	66	46	89	83	61	85	61	66	70	46	75
61	84	63	97	78	66	83	83	66	63	78	96	56	100	89	61	76	90	63	46	96	100
90	80	85	67	67	96	88	88	63	66	67	94	46	49	54	78	60	96	53	96	46	66
96	76	65	78	96	94	60	98	47	90	90	47	46	47	55	67	90	51	46	75	55	47
94	90	60	74	75	47	87	87	66	98	55	66	56	78	96	63	55	87	96	100	53	66
87	96	55	77	46	66	65	65	63	97	53	75	46	65	94	66	53	51	94	47	51	63
56	97	53	75	85	75	78	78	66	67	51	66	88	66	47	90	51	61	47	66	61	66
45	45	51	66	76	66	85	85	90	96	61	73	85	73	66	98	61	74	66	63	78	96
77	72	61	73	60	73	76	100	90	75	88	96	76	84	63	97	78	66	63	66	67	94
70	75	74	96	55	96	60	87	96	46	66	70	60	80	85	67	67	46	47	90	90	47
72	81	61	56	76	56	97	97	46	54	76	75	61	76	65	78	96	88	66	98	55	66
75	89	90	46	60	46	67	67	56	77	60	100	74	90	60	74	75	85	63	97	53	75
81	66	96	63	55	63	89	78	46	75	55	47	54	96	55	77	46	76	66	67	51	66
89	55	94	66	53	66	76	76	96	100	53	66	51	97	53	75	85	60	90	96	61	73
54	53	47	90	51	90	66	66	94	47	51	63	59	45	51	66	76	55	90	75	88	96
49	64	66	98	61	63	48	48	47	66	61	66	46	72	61	73	60	53	96	46	66	70
47	61	63	97	78	66	83	83	66	63	78	96	56	75	74	96	55	51	46	54	76	75
63	74	85	67	67	96	88	88	63	66	67	94	46	81	61	56	76	61	56	77	60	100
99	48	65	78	96	94	60	98	47	90	90	47	46	89	90	46	60	78	46	75	55	47
78	77	60	74	75	47	87	87	66	98	55	66	56	66	96	63	55	67	96	100	53	66
79	75	55	77	46	66	65	65	63	97	53	75	46	55	94	66	53	96	94	47	51	63
48	90	53	75	85	75	78	78	66	67	51	66	88	53	47	90	51	75	47	66	61	66
73	74	51	66	76	66	85	85	90	96	61	73	85	64	66	98	61	46	66	63	78	96
84	67	61	73	60	73	76	100	90	75	88	96	76	61	63	97	78	85	63	66	67	94
80	68	74	96	55	96	60	87	96	46	66	70	60	74	85	67	67	76	47	90	90	47
80	98	67	70	53	97	55	88	94	85	90	46	55	48	65	78	96	60	63	55	63	89
90	87	77	90	51	56	53	77	47	76	98	56	53	77	60	74	75	66	66	53	66	76
56	65	61	84	63	97	78	66	83	83	66	63	78	75	55	77	46	90	90	51	90	66
98	88	90	80	85	67	67	96	88	88	63	66	67	90	53	75	85	98	98	61	63	48
99	85	96	76	65	78	96	94	60	98	47	90	90	74	51	66	76	97	97	78	66	83
72	90	94	90	60	74	75	47	87	87	66	98	55	67	61	73	60	67	67	67	96	88
75	87	87	96	55	77	46	66	65	65	63	97	53	68	74	96	55	78	78	96	94	60
83	88	56	97	53	75	85	75	78	78	66	67	51	98	67	70	53	74	89	54	73	56
89	99	45	45	51	66	76	66	85	85	90	96	61	87	77	90	51	77	54	54	96	46
54	76	77	72	61	73	60	73	76	100	90	75	88	65	61	84	63	75	90	77	70	88
55	60	70	75	74	96	55	96	60	87	96	46	66	54	90	78	76	66	47	75	46	85
94	55	72	81	61	56	76	56	97	97	46	54	76	49	96	96	60	73	97	97	46	54
51	84	75	89	90	46	60	46	67	67	56	77	60	47	94	94	55	96	56	97	97	46
61	51	81	66	96	63	55	63	89	78	46	75	55	63	87	46	84	56	90	51	74	66
74	90	89	55	94	66	53	66	76	76	96	100	53	84	56	56	51	46	88	61	49	63
89	74	54	53	47	90	51	90	66	66	94	47	51	78	45	46	90	63	60	74	90	66
72	67	49	64	66	98	61	63	48	48	47	66	61	79	77	54	74	66	90	67	87	46
75	77	47	61	63	97	78	66	83	83	66	63	78	45	70	54	67	90	53	77	47	100
81	75	51	88	49	56	75	46	97	51	47	70	96	73	72	77	77	98	51	75	66	66
89	61	61	99	87	46	66	46	56	61	66	100	94	88	56	80	77	90	61	61	63	90
54	90	78	76	89	54	73	56	73	78	63	73	46	56	46	90	61	84	66	78	76	99
49	96	96	60	54	54	96	46	96	67	66	46	56	46	54	56	90	80	96	96	60	72
47	94	94	55	90	77	70	88	70	91	90	56	46	88	54	98	96	76	94	63	89	75
63	87	46	84	47	75	46	85	46	98	98	46	54	85	77	99	94	90	73	46	54	81
84	56	56	51	63	61	56	76	56	97	97	46	54	76	75	72	87	96	96	56	77	89
78	45	46	90	84	90	46	60	46	67	67	56	77	60	100	75	56	97	70	46	75	98
79	77	54	74	78	96	63	55	63	89	78	46	75	55	47	83	65	61	66	100	94	88
45	70	54	67	65	94	66	53	66	76	76	96	100	53	66	53	66	78	63	73	46	56
73	72	77	77	66	47	90	51	90	66	66	94	47	51	63	51	90	67	66	46	56	46
84	75	75	75	73	66	98	61	63	48	48	47	66	61	66	61	63	91	90	56	46	88
76	81	100	61	84	63	97	78	66	83	83	66	63	78	96	78	66	98	98	46	54	85
80	89	47	90	80	85	67	67	96	88	88	63	66	67	94	75	46	89	48	51	66	76
90	54	66	96	76	65	78	96	94	60	98	47	90	90	47	66	46	98	73	61	73	60
96	49	63	90	78	76	89	54	73	56	73	78	63	73	54	73	56	55	84	74	96	55
98	47	66	96	96	60	54	54	96	46	96	67	66	46	54	96	46	53	80	67	70	53
99	63	77	94	94	55	90	77	70	88	70	91	90	56	77	60	100	51	80	77	90	51
72	99	75	87	46	84	47	75	46	85	46	98	98	46	75	55	47	61	90	61	84	63
75	78	75	73	66	56	97	97	46	54	76	75	56	97	97	74	90	74	56	90	80	85
81	79	61	84	63	90	56	97	86	46	54	76	46	67	67	67	87	67	98	96	76	65
89	48	90	80	85	63	90	51	74	66	60	97	46	45	87	77	47	77	99	94	90	60
98	73	96	76	65	66	88	61	49	63	55	56	63	77	89	75	66	75	72	87	96	55
55	84	90	78	76	96	60	74	90	66	53	78	66	74	54	61	63	81	75	56	97	53
53	80	96	96	60	94	90	67	87	46	56	61	90	90	90	78	76	89	83	65	61	84
51	80	55	63	89	73	53	77	47	100	45	90	53	50	47	96	60	100	89	88	90	80
61	90	97	46	54	96	51	75	66	66	77	96	51	87	63	63	89	49	54	63	97	78
74	56	67	56	77	70	61	61	63	90	74	79	47	56	84	46	54	89	48	85	67	67
67	98	78	46	75	46	66	78	76	99	63	77	94	63	90	56	77	98	73	65	78	96
77	99	76	96	100	67	96	96	60	72	99	75	87	66	88	46	75	55	84	76	89	54
75	72	66	94	47	96	94	63	89	75	78	75	73	63	97	78	66	53	80	60	54	54
81	75	48	47	66	54	73	46	54	81	79	61	84	85	67	67	96	88	88	55	90	77
89	83	83	66	63	54	96	56	77	89	48	90	80	65	78	96	94	60	98	84	47	75
100	89	88	63	66	77	70	46	75	98	73	96	76	76	89	54	73	56	73	78	78	66
49	54	98	47	90	75	46	96	100	55	84	90	78	60	54	54	96	46	96	85	85	90
47	55	73	78	63	66	67	94	47	53	80	96	96	55	90	77	70	88	70	76	100	90
63	94	66	83	83	90	96	47	66	51	80	55	63	84	47	75	46	85	46	61	90	90
84	51	96	88	88	90	75	66	63	61	90	97	46	78	78	66	67	90	53	90	53	50
78	61	94	60	98	77	66	63	66	84	75	63	79	85	54	90	96	74	51	96	51	87
79	86	73	56	73	90	78	47	90	76	81	100	45	76	100	90	75	67	61	76	89	83
54	74	96	46	96	84	63	97	78	66	83	83	73	72	77	77	66	47	96	100	98	88
88	90	98	88	90	80	85	67	67	96	88	88	84	75	75	75	73	66	100	61	84	63
85	49	99	85	96	76	65	78	96	94	60	98	76	81	100	61	84	63	47	90	80	85
76	87	72	90	94	90	60	74	75	47	87	87	80	89	47	90	80	85	66	96	76	65
60	89	90	94	46	75	65	61	84	63	97	78	66	83	83	45	84	75	63	90	78	76
55	54	87	96	100	98	88	90	80	85	67	67	96	88	88	72	76	81	100	61	84	63
53	90	81	100	61	84	63	97	78	66	83	83	66	63	78	75	80	89	47	90	80	85
51	47	89	47	90	80	85	67	67	96	88	88	63	66	67	81	90	54	66	96	76	65
76	63	54	66	96	76	65	78	96	94	60	98	47	90	90	89	96	49	63	90	78	76
74	84	49	63	90	78	76	89	54	73	56	73	78	63	73	100	98	47	66	96	96	60
67	78	47	66	96	96	60	54	54	96	46	96	67	66	46	81	66	96	63	55	63	89
77	65	63	77	94	94	55	90	77	70	88	70	91	90	56	56	76	56	97	97	46	54
75	66	99	75	87	46	84	47	75	46	85	46	98	98	46	46	60	46	67	67	56	77
61	73	98	75	85	75	78	78	66	67	90	53	75	85	75	63	55	63	89	78	46	75
90	84	75	66	76	66	85	85	90	96	74	51	66	76	66	85	85	90	96	61	73	85
48	80	66	73	60	73	76	100	90	75	67	61	73	60	73	76	100	90	75	88	96	76
94	76	73	96	55	96	60	87	96	46	68	74	96	55	96	60	87	96	46	66	70	60
97	90	96	56	76	56	97	97	46	54	98	67	70	53	97	55	88	94	85	90	46	55
67	96	70	46	60	46	67	67	56	77	87	77	90	51	56	53	77	47	76	98	56	53
59	97	90	84	90	72	90	94	46	75	65	61	84	63	97	78	66	83	83	66	63	78
60	45	84	55	96	60	87	96	100	98	88	90	80	85	67	67	96	88	88	63	66	67
78	72	80	84	56	56	51	63	61	99	85	96	76	65	78	96	94	60	98	47	90	90
53	67	76	78	45	46	90	84	90	72	90	94	90	60	74	75	47	87	87	66	98	55
51	77	90	79	77	54	74	78	96	75	87	87	96	55	77	46	66	65	65	63	97	53
61	98	96	45	70	54	67	65	94	83	88	56	97	53	75	85	75	78	78	66	67	51
74	81	97	73	72	77	77	66	47	89	99	45	45	51	66	76	66	85	85	90	96	61
90	89	45	84	75	75	75	73	66	54	76	77	72	61	73	60	73	76	100	90	75	88
48	100	72	76	81	100	61	84	63	55	60	70	75	74	96	55	96	60	87	96	46	66
48	49	75	80	89	47	90	80	85	94	55	72	81	61	56	76	56	97	97	46	54	76
61	47	81	90	54	66	96	76	65	51	84	75	89	90	46	60	46	67	67	56	77	60
90	63	89	96	49	63	90	78	76	61	51	67	46	90	84	90	72	90	94	46	75	55
96	84	100	98	47	66	96	96	60	74	90	89	55	94	66	53	66	76	76	96	100	53
94	78	81	66	96	63	55	63	89	78	74	54	53	47	90	51	90	66	66	94	47	51
87	79	56	76	56	97	97	46	54	72	67	49	64	66	98	61	63	48	48	47	66	61
56	54	46	60	46	67	67	56	77	47	48	79	77	54	74	78	96	63	55	63	89	78
45	88	63	55	63	89	78	46	75	63	66	45	70	54	67	65	94	66	53	66	76	76
87	85	66	53	66	76	76	96	100	100	61	73	72	77	77	66	47	90	51	90	66	66
74	76	90	51	90	66	66	94	47	78	90	84	75	75	75	73	66	98	61	63	48	48
